seed,num_clusters,num_points,init_type,ImprClass,iteration_order,init_cost,end_cost,num_iter,num_iter_tot,time,num_clusters,num_points,init_type,ImprClass,iteration_order,init_cost,end_cost,num_iter,num_iter_tot,time,num_clusters,num_points,init_type,ImprClass,iteration_order,init_cost,end_cost,num_iter,num_iter_tot,time
seed,16,30,1,1,0,26399.7,24813.5,6,1973,438
24587421,16,30,0,1,1,26399.7,1273.15,49,5824,240
seed,16,30,0,1,1,26399.7,1273.15,49,5824,244
seed,16,30,0,1,1,26399.7,1273.15,49,5824,230
24587437,16,30,1,1,1,24194.8,22608.2,11,2529,481
seed,16,30,1,1,1,24194.8,22608.2,11,2529,591
seed,16,30,1,1,1,24194.8,22608.2,11,2529,641
24587453,16,30,0,1,2,30764.9,1312.41,84,9409,1238
seed,16,30,0,1,2,30764.9,1312.41,84,9409,1186
seed,16,30,0,1,2,30764.9,1312.41,84,9409,1167
24587468,16,30,1,1,2,17624.9,15331,22,4679,880
seed,16,30,1,1,2,17624.9,15331,22,4679,865
seed,16,30,1,1,2,17624.9,15331,22,4679,849
24587484,2,40,0,0,0,74514.9,74514.9,0,40,3
seed,2,40,0,0,0,74514.9,74514.9,0,40,3
seed,2,40,0,0,0,74514.9,74514.9,0,40,2
24587500,2,40,1,0,0,75974.3,75962.7,1,80,74
seed,2,40,1,0,0,75974.3,75962.7,1,80,61
seed,2,40,1,0,0,75974.3,75962.7,1,80,57
24587500,2,40,0,1,0,75974.3,75974.3,0,40,4
seed,2,40,0,1,0,75974.3,75974.3,0,40,2
seed,2,40,0,1,0,75974.3,75974.3,0,40,1
24587515,2,40,1,1,0,69508.5,69057.1,2,86,44
seed,2,40,1,1,0,69508.5,69057.1,2,86,40
seed,2,40,1,1,0,69508.5,69057.1,2,86,33
24587531,2,40,0,1,1,59680.1,59680.1,0,40,4
seed,2,40,0,1,1,59680.1,59680.1,0,40,2
seed,2,40,0,1,1,59680.1,59680.1,0,40,2
24587531,2,40,1,1,1,59680.1,59680.1,0,40,39
seed,2,40,1,1,1,59680.1,59680.1,0,40,31
seed,2,40,1,1,1,59680.1,59680.1,0,40,30
24587546,2,40,0,1,2,50917.4,50917.4,0,40,32
seed,2,40,0,1,2,50917.4,50917.4,0,40,14
seed,2,40,0,1,2,50917.4,50917.4,0,40,13
24587562,2,40,1,1,2,60163.1,45953.2,20,421,220
seed,2,40,1,1,2,60163.1,45953.2,20,421,198
